ds,Company,Metric,yhat
2024-07-31,Delta PLC,Revenue,117200.9055676979
2024-08-31,Delta PLC,Revenue,111097.13804585181
2024-09-30,Delta PLC,Revenue,80347.2285289516
2024-10-31,Delta PLC,Revenue,102633.5239574852
2024-11-30,Delta PLC,Revenue,116771.59634005884
2024-12-31,Delta PLC,Revenue,139543.1601441867
2024-01-31,Delta PLC,Expenses,96682.3139642675
2024-02-29,Delta PLC,Expenses,117092.4718592316
2024-03-31,Delta PLC,Expenses,106682.66040385768
2024-04-30,Delta PLC,Expenses,102365.07259244163
2024-05-31,Delta PLC,Expenses,125326.46227907254
2024-06-30,Delta PLC,Expenses,115987.9233977074
2024-07-31,Delta PLC,Expenses,104696.49063881933
2024-08-31,Delta PLC,Expenses,90545.67811462443
2024-09-30,Delta PLC,Expenses,111244.15519528062
2024-10-31,Delta PLC,Expenses,102380.81744842081
2024-11-30,Delta PLC,Expenses,103929.85887073353
2024-12-31,Delta PLC,Expenses,107804.22523682135
2024-01-31,Epsilon Co,Revenue,125534.54267037041
2024-02-29,Epsilon Co,Revenue,162265.56746023847
2024-03-31,Epsilon Co,Revenue,70884.65462315246
2024-04-30,Epsilon Co,Revenue,135126.73258458485
2024-05-31,Epsilon Co,Revenue,117561.03604685765
2024-06-30,Epsilon Co,Revenue,56385.735891418866
2024-07-31,Epsilon Co,Revenue,66563.54884851049
2024-08-31,Epsilon Co,Revenue,137076.4800180086
2024-09-30,Epsilon Co,Revenue,118923.54479284392
2024-10-31,Epsilon Co,Revenue,85680.02059863273
2024-11-30,Epsilon Co,Revenue,86480.46186724563
2024-12-31,Epsilon Co,Revenue,130977.1374557667
2024-01-31,Epsilon Co,Expenses,76597.20400744052
2024-02-29,Epsilon Co,Expenses,40434.776713689775
2024-03-31,Epsilon Co,Expenses,104080.95970259001
2024-04-30,Epsilon Co,Expenses,64212.63742149039
2024-05-31,Epsilon Co,Expenses,109024.56723339079
2024-06-30,Epsilon Co,Expenses,49457.466764889235
2024-07-31,Epsilon Co,Expenses,92282.83155014557
2024-08-31,Epsilon Co,Expenses,92333.67431352209
2024-09-30,Epsilon Co,Expenses,118742.9666323704
2024-10-31,Epsilon Co,Expenses,83015.61331552532
2024-11-30,Epsilon Co,Expenses,85389.50803642426
2024-12-31,Epsilon Co,Expenses,59941.5488667932
